abandon 放弃
awesome 令人敬畏的
awful 糟糕的
awkward 笨拙的
baby 婴儿
bachelor 单身汉；学士
background 背景
backward 向后地
bacon 咸猪肉
bacterium 细菌
badminton 羽毛球
bag 包
baggage 行李
bakery 面包房
balance 平衡
balcony 阳台
ballet 芭蕾
balloon 气球
bamboo 竹竿
ban 禁止
banana 香蕉
band 带
bandage 绷带
bank 河岸；银行
bar 酒吧
barbecue 烧烤
barber 理发师
barbershop 理发店
bare 赤裸的
bargain 讨价还价
bark 大叫
barrier 栅栏
base 基础
baseball 棒球
basement 地下室
basic 基本的
basin 盆
basis 基础
basket 篮筐
basketball 篮球
bat 球拍
bath 洗澡
bathe 给…洗澡
bathroom 浴室
bathtub 浴缸
battery 电池
battle 战斗
bay 湾
bc 公元前
be 在
beach 海滩
bean 豆
beancurd 豆腐
bear 忍受
beard 胡须
beast 兽
beat 跳动；打败
beautiful 美丽的
beauty 美丽
because 因为
become 变为
bed 床位
beddings 卧具
bedroom 卧室
bee 蜜蜂
beef 牛肉
beer 啤酒
before 在…前面
beg 乞讨
begin 开始
behalf 利益
behave 表现
behavior 行为
behaviour 行为
behind 在…后面
being 生物
belief 信任
believe 相信
bell 钟
belly 肚子
belong 属于
below 在…下面
belt 腰带
bench 长椅
bend 使弯曲
beneath 在下面
beneficial 有益的
benefit 有益于
bent 弯的
beside 在旁边
besides 而且
betray 背叛
between 在…之间
beyond 在另一边
bicycle 自行车
bid 出价
bill 账单
bingo 宾戈游戏
biochemistry 生物化学
biography 传记
biology 生物学
birth 出生
birthday 生日
birthplace 出生地
biscuit 饼干
bishop 主教
bit 少量
bite 咬
bitter 有苦味的
blackboard 黑板
blame 指责
blank 空白的
blanket 毛毯
bleed 流血
bless 保佑
blind 失明的
block 阻碍物
blood 血液
blouse 女衬衫
blow 吹
blue 蓝色；忧郁
board 木板
boat 小船
body 身体
boil 煮沸
bomb 炸弹
bond 使结合
bone 骨头
bonus 奖金
book 书籍
boom 猛涨
boot 长筒靴
booth 小房间
border 边界
bored 无聊的
boring 无趣的
born 出生的
borrow 借
boss 老板
botanical 植物学的
botany 植物学
both 两者都
bother 打扰
bottle 瓶子
bottom 底部
bounce 弹回
bound 弹回；被束缚的
boundary 分界线
bow 鞠躬
bowl 碗
bowling 保龄
boxing 拳击
boy 男孩
boycott 抵制
brain 脑
brake 刹车；制动
branch 树枝；分支
brand 商标
brave 勇敢的
bravery 勇气
bread 面包
breakfast 早餐
breakthrough 突破点
breast 胸膛
breath 呼吸
breathe 呼吸
breathless 呼气困难的
brewery 啤酒厂
brick 砖块
bride 新娘
bridegroom 新郎
bridge 桥
brief 短暂的；摘要
bright 光亮的
brilliant 明亮的
bring 带来
broad 宽的
broadcast 广播
brochure 小册子
broken 破碎的
broom 扫帚
brother 兄弟
brown 棕色的
brunch 早午餐
brush 刷子
buddhism 佛教
budget 预算
buffet 反复敲打
build 建筑；建立
building 建筑物
bunch 束；捆
bungalow 平房
burden 重负
bureaucratic 官僚的
burglar 窃贼
burn 燃烧
burst 爆发
bury 埋葬
bus 公交车
bush 灌木
business 生意
businessman 商人
businesswoman 女商人
busy 忙
but 但是
butcher 屠夫
butter 黄油
butterfly 蝴蝶
button 按钮
by 通过
bye 再见
cab 出租车
cabbage 卷心菜
cafeteria 自助餐厅
cage 笼子
cake 蛋糕
calculate 计算
calm 冷静的
camel 骆驼
camera 照相机
camp 营地
campaign 运动
canal 运河
cancel 取消
cancer 癌症
candidate 候选人
candle 蜡烛
candy 糖果
canteen 食堂
cap 帽子
capital 首都
capsule 胶囊
captain 船长
caption 标题
car 汽车
carbon 碳
card 卡片
care 关心
careful 仔细的
careless 粗心的
carpenter 木工
carpet 地毯
carriage 四轮马车
carrier 搬运人
carrot 胡萝卜
carry 运送
cartoon 卡通
carve 切
case 事例
cash 现金
cassette 盒式录音带
cast 投；掷
castle 城堡
casual 漠不关心的
cat 猫
catalogue 目录
catastrophe 灾难
catch 抓
category 种类
cater 提供；迎合
catholic 天主教的
cattle 牛
cause 起因
caution 小心
cautious 小心的
cave 洞穴
ceiling 天花板
celebrate 庆祝
celebration 庆祝
cell 细胞
cent 分
centigrade 摄氏
centimetre 厘米
central 中心的
centre 中心点
century 世纪
ceremony 仪式
certain 无疑
certificate 证明书
chain 锁链
chair 椅子
chairman 主席
chairwoman 女主席
chalk 粉笔
challenge 挑战
challenging 有挑战的
champion 冠军
chance 机会
change 改变
changeable 易变的
channel 海峡
chant 吟唱
chaos 混乱
chapter 章；回
character 品质；特征
characteristic 典型的
charge 命令
chart 图表
chat 聊天
cheap 廉价的
cheat 欺骗
check 检查
cheek 脸蛋
cheer 喝彩
cheerful 高兴的
cheers 干杯
cheese 干酪
chef 厨师长
chemical 化学的
chemist 化学家
chemistry 化学
cheque 支票
chess 国际象棋
chest 胸腔；箱子
chew 咀嚼
chicken 鸡肉
chief 首领
child 孩子
childhood 童年
chocolate 巧克力
choice 挑选
choir 唱诗队
choke 填塞
choose 选择
chopsticks 筷子
chorus 合唱
christian 基督教徒
christmas 圣诞节
church 教堂
cigar 雪茄
cigarette 香烟
cinema 电影院
circle 圆
circuit 线路
circulate 使循环
circumstance 环境；情况
circus 马戏
citizen 公民
city 都市
civil 公民的
civilian 平民
civilization 文化
clap 拍手
clarify 使清楚
class 课
classic 优秀的；典型的
classify 分类
classmate 同学
classroom 教室
claw 爪
clay 黏土
clean 清洁的
cleaner 保洁员
clear 清晰的
clerk 职员
clever 聪明的
click 单击
climate 气候
climb 攀登
clinic 诊所
clock 钟
clone 克隆
close 关上
cloth 布料
clothes 衣服
clothing 衣服
cloud 云
cloudy 多云的
club 社团；俱乐部
clumsy 笨拙的
coach 训练；教练
coal 煤块
coast 海岸
coat 外套
cocoa 可可
coffee 咖啡
coincidence 巧合
coke 焦炭
cold 寒冷
collar 衣领
colleague 同事
collect 收集
collection 收集
college 大学
collision 碰撞；冲突
colour 颜色
comb 梳理
combine 使联合
come 来
comedy 喜剧
comfort 舒适的
comfortable 安逸的
command 命令
comment 评论
commercial 商业的
commit 犯罪
commitment 承诺
committee 委员会
common 普遍的
communicate 交流
communication 交流
communism 共产主义
communist 共产主义者
companion 同伴
company 陪伴；公司
compare 比较
compass 罗盘；圆规
compensate 补偿
compete 竞争
competence 能力
competition 竞争
complete 完整的
complex 复合的
component 成分
composition 创作
comprehension 理解
compromise 妥协
compulsory 强制性的
computer 计算机
concentrate 专注于
concept 概念
concern 焦虑
concert 音乐会
conclude 结束；决定
conclusion 结束；结论
concrete 实体的
condemn 责备；判罪
condition 状况
conduct 引导
conductor 指挥
conference 会议；讨论
confident 肯定的
confidential 秘密的
confirm 证实
conflict 战斗
confuse 使困惑
congratulate 祝贺
congratulation 祝贺
connect 连接
connection 连接
conscience 良心
consensus 一致同意
consequence 后果
conservation 保护
conservative 保守的
consider 考虑
considerate 体贴的
consideration 关心
consist 组成
consistent 一致的
constant 忠诚的;不变的
constitution 法规；设立
construct 建立
construction 建造
consult 考虑；商量
consultant 顾问
consume 消费
contain 包含
container 容器
contemporary 当代的
content 满足；容量
continent 大陆
continue 继续
contradict 反驳
contradictory 矛盾的
contrary 相反的
contribute 捐助
contribution 贡献
control 控制
controversial 有争议的
convenience 方便
convenient 方便的
conventional 依照惯例的
conversation 交谈
convey 运输
convince 使相信
cook 烹调
cooker 厨具
cookie 饼干
cool 凉快的；冷静的
copy 复制
corn 谷物
corner 角落
corporation 公司
correct 正确的
correction 改正的
correspond 相符合
corrupt 堕落的
cost 价格；成本
cosy 温暖舒适的
cottage 小屋
cotton 棉花
cough 咳嗽
could 表示请求
count 计算；总数
counter 柜台；对抗
country 国家
countryside 乡下
couple 一对
courage 勇气
course 课程
court 院子
courtyard 庭院
cousin 堂兄弟
cover 覆盖
cow 母牛
crash 撞击
crayon 蜡笔
crazy 发疯的
cream 奶油
create 创造
creature 生物
credit 信用
crew 全体船员
crime 罪
criminal 罪犯
criterion 标准
crop 庄家
cross 十字架
crossing 十字路口
crossroads 在紧要关头
crowd 人群
cruel 残酷的
cry 哭；叫
cube 立方体
cubic 立方体
cuisine 烹饪艺术
culture 文化
cup 杯子
cupboard 柜橱
cure 治疗
curious 好奇的
currency 货币
curriculum 课程
curtain 窗帘
cushion 垫子
custom 习惯
customer 顾客
customs 海关
cycle 自行车
cyclist 骑自行车的人
daily 日常的
dam 坝
damage 损害
damp 潮湿的
dance 跳舞
danger 危险
dangerous 有危险的
dare 敢
dark 黑暗的
darkness 黑暗
dash 猛冲
data 资料
database 资料库
date 日子
dawn 拂晓
dead 死去的
deadline 最后期限
deaf 聋的
deal 分配；交易
dear 亲爱的
debate 讨论
debt 债务
decade 十年
decide 下决心
decision 决心
declare 宣布
decline 下降
decorate 装饰
decoration 装饰
decrease 减小
deed 行为
deep 深的
deer 鹿
defeat 击败
defence 防御
defend 保护
degree 度数
delay 延迟
delete 删除
deliberately 故意地
delicate 易碎的；微妙的；脆弱的
delicious 美味的
delight 快乐
delighted 喜欢的
deliver 递送
demand 要求
dentist 牙科医生
department 部门
departure 离开
depend 依靠
deposit 放置；存款
depth 深度
describe 描写
description 描述
desert 沙漠；舍弃
deserve 应得
design 设计
desire 要求
desk 书桌
desperate 孤注一掷的
dessert 甜食
destination 终点；目的地
destroy 毁灭
detective 侦探
determine 使下决心
develop 开发
development 发展
devote 把…奉献给
devotion 奉献
diagram 图解
dial 打电话
dialogue 对话
diamond 钻石
diary 日记
dictation 听写
dictionary 字典
diet 日常饮食
differ 不同
difference 差别
different 不同的
difficult 困难的
difficulty 困难
dig 挖
digest 消化；文摘
digital 数字式的
dignity 庄严
dilemma 左右为难
dimension 尺寸；方面
dinner 正餐
dinosaur 恐龙
dioxide 二氧化物
dip 浸
diploma 执照
direct 笔直的
direction 方向
director 主管
directory 电话本
dirty 脏的
disability 无能力
disabled 残废的
disadvantage 不利
disagree 不同意
disagreement 分歧
disappear 消失
disappoint 使失望
disappointed 失望的
disaster 灾难
discount 折扣
discourage 使气馁
discover 发现
discovery 发现
discrimination 歧视
discuss 谈论
discussion 讨论
disease 疾病
disgusting 令人作呕的；极坏的
dish 盘子
dislike 不喜欢
dismiss 解雇
distance 距离
distant 遥远的
distinction 区别
distinguish 辨别
distribute 分配
district 地区
disturb 打扰
disturbing 令人不安的
dive 跳水
diverse 不同的
divide 分
division 分开
divorce 离婚；分离
dizzy 晕眩的
doctor 医生
document 公文
dog 狗
doll 玩偶
dollar 元
donate 捐赠
door 门
dormitory 集体宿舍
dot 小圆点
double 双的
doubt 怀疑
down 向下
download 下载
downstairs 在楼下
downtown 闹市区的
dozen 一打
draft 草稿
drag 拖；拽
draw 绘画
drawback 缺点
drawer 抽屉
dream 梦想
dress 连衣裙
drill 钻头；训练
drink 喝
drive 驾驶
driver 驾驶员
drop 使落下
drug 药物
drum 鼓
drunk 醉的
dry 干的
duck 鸭子
due 应有的
dull 迟钝的
dumpling 饺子
during 在…期间
dusk 傍晚
dust 灰尘
dustbin 垃圾箱
dusty 轻率的回答
duty 职责
dynamic 有活力的
dynasty 朝代
each 每一个
eager 热切的
eagle 鹰
ear 耳朵
early 早的
earn 赚得
earth 地球
earthquake 地震
east 东
easter 复活节
eastern 东方的
easy 容易的
eat 吃
ecology 生态
edge 边缘
edition 版本
editor 编辑
educate 教育
education 教育
education 教育
educator 教员
effect 影响
effort 努力
egg 蛋
eggplant 茄子
either 两者中任意一个
elder 年长的
elect 选举
electric 电动的
electrical 用电的
electricity 电流
electronic 电子的
elegant 优美的
elephant 大象
embarrass 使复杂化
embassy 大使馆
emergency 紧急情况
emperor 皇帝
employ 雇用
empty 空的
encourage 鼓励
encouragement 鼓励
end 最终
ending 结局
endless 无止境的
enemy 敌人
energetic 精力充沛的
energy 活力
engine 发动机
engineer 工程师
enjoy 喜欢
enjoyable 快乐的
enlarge 扩大
enough 充足的
enquiry 询问
enter 进入
enterprise 事业
entertainment 娱乐
enthusiastic 热情的
entire 全部的
entrance 入口
entry 进入
envelope 信封
environment 环境
envy 嫉妒
equal 平等的
equality 同等的
equip 装备
equipment 设备
eraser 橡皮
error 错误
erupt 爆发
escape 逃跑
especially 尤其
essay 散文
europe 欧洲
european 欧洲人
evaluate 评估
even 甚至
evening 傍晚
event 事件
eventually 终于
ever 总是
everywhere 到处
evidence 证词
evident 明显的
evolution 进化；发展
exact 准确的
examination 考试
examine 考试
example 例子
excellent 优秀的
except 把…除外
exchange 交换
excite 使激动
excuse 原谅
exercise 运动
exhibition 展览
exist 存在
existence 生存
exit 出口
expand 扩大
expect 预期
expectation 期望
expense 花费
expensive 昂贵的
experience 经验
experiment 实验
expert 专家
explain 解释
explanation 解释
explicit 明晰的
explode 使爆炸
explore 探究
export 出口
expose 曝光
express 表示
expression 表示
extension 延伸
extra 额外的
extraordinary 特别的；临时的
extreme 尽头的；极端的
eye 眼
eyesight 视力
facial 面孔
factory 工厂
fade 使褪去
fail 失败
failure 失败
fair 公平的
faith 信任
fall 降落
false 虚伪的
familiar 熟悉的
family 家庭
famous 著名的
fan 扇子
fancy 幻想
fantastic 极好的
fantasy 幻想
far 遥远的
fare 票
farm 农场
farmer 农民
fast 快的
fasten 栓牢
fat 肥胖的
fault 缺点
favour 喜爱
favourite 特别喜欢
fax 传真机
fear 害怕
feast 盛会
feather 羽毛
federal 联邦
fee 费
feed 喂养
feel 感觉
feeling 知觉
fellow 同伴
female 女性的
fence 栅栏；保护
ferry 渡口；摆渡
festival 节日
fetch 抵达
fever 发烧
few 不多的
fiber 纤维
fibre 纤维
fiction 小说
field 田野；场地
fierce 凶猛的
fight 战争
figure 数字；图表
file 提交；文件
film 电影
final 最后的
finance 财政
find 找到
fine 美好的；罚金
finger 手指
fingernail 指甲
finish 完成
fire 火
fireworks 烟火
firm 结实的；公司
fish 鱼肉
fisherman 渔民
fist 拳头
fit 合适的
fix 修理
flag 旗帜
flame 火焰
flash 闪光
flashlight 手电筒
flat 平的；套房
flee 逃走
flesh 肉体
flexible 灵活的
flight 飞行
float 浮动
flood 洪水
floor 地板
flour 面粉
flow 流动
flower 花
flu 流感
fluency 流利
fluent 流畅的
fly 飞
focus 集中
fog 雾
foggy 有雾的
fold 折叠
folk 民间的
follow 跟随
fond 喜欢的
food 食物
fool 傻瓜
foolish 愚蠢的
football 足球；橄榄球
for 因为；在…
forbid 禁止
force 力量；强制
forecast 预言
forehead 前额
foreign 外国的
foreigner 外国人
foresee 预见
forest 森林
forever 永远
forget 忘记
forgetful 健忘的
forgive 原谅
fork 叉子
form 结构
format 格式
former 过去的
fortnight 两星期
fortunate 幸运的
fortune 机会；命运
forty 午睡
forward 向前
foster 培养
found 创办
fountain 泉水；来源
fox 狐狸
fragile 易碎的
fragrant ；物质的
framework 构架
franc 法郎
free 自由的
freedom 自由
freeway 高速路
freeze 结冰
freezing 严寒的
frequent 常见的
fresh 新鲜的
friction 摩擦
fridge 冰箱
friend 朋友
friendly 友好的
friendship 友情
frighten 使惊恐
frog 蛙
from 从…
front 前面
frontier 边境
frost 霜冻
fruit 水果
fry 油炸
fuel 燃料
full 满的
fun 娱乐
function 作用
fundamental 基本的
funeral 葬礼
funny 滑稽的
fur 软毛
furnished 有家具的
furniture 家具
future 未来的
gain 获得
gallery 画廊
gallon 加仑
game 游戏
garage 车库
garbage 垃圾
garden 花园
garlic 大蒜
garment 衣服
gas 气体；汽油
gate 门
gather 集合
general 普遍的
generation 一代人
generous 慷慨的
gentle 温和的
gentleman 绅士
geography 地理学
geometry 几何
gesture 姿势；手势
gifted 有天赋的
giraffe 长颈鹿
girl 少女
glad 高兴的
glance 一瞥
glare 瞪眼
glass 玻璃
globe 地球；世界
glory 光荣
glove 手套
glue 胶水
goal 目标
goat 山羊
golden 金色的
golf 高尔夫
good 好的
goods 商品
goose 鹅
govern 统治
government 政府
grade 等级
gradual 渐渐的
graduate 毕业了的
graduation 毕业
grain 谷粒
gram 克
grammar 语法
grand 壮丽的
grandchild 外孙
granddaughter 孙女
grandparents 祖父母
grandson 外孙
granny 奶奶
grape 葡萄
graph 图表
grasp 抓住
grass 草
grateful 感激的
gravity 万有引力；重力
great 大的
greedy 贪吃的
green 绿色的
greengrocer 水果蔬菜商
greet 欢迎
greeting 招呼
grey 灰色
grill 烧烤；盘问
grocer 食品杂货商
grocery 杂货店
ground 地面
group 组
grow 生长
growth 生长
guarantee 保证
guard 保护
guess 猜
guest 客人
guidance 指导
guide 指导；引导
guilty 内疚的
guitar 吉他
gun 炮
gymnastics 体操；体育
habit 习惯
hair 头发
haircut 理发
hall 礼堂
ham 火腿
hamburger 汉堡
hammer 锤头
hand 手
handbag 手提包
handful 一把
handkerchief 手帕
handle 把手；处理
handsome 英俊的
handwriting 字迹
handy 手边的
hang 挂
happen 发生
happiness 幸运
happy 高兴
harbour 港口
hard 硬的；坚实的
hardly 几乎不
hardship 艰难困苦
hardworking 刻苦的
harm 损害
harmful 有害的
harmony 和谐
harvest 收割
hat 帽子
hatch 孵化
hate 恨
have 有
he 他
headache 头痛
headline 大字标题
headmaster 男校长
headmistress 女校长
health 健康
healthy 健康的
hear 听到
hearing 听力
heat 高温
heaven 天堂
heavy 沉重的
heel 足跟
height 高度
helicopter 直升机
hello 喂
helmet 头盔
help 帮助
helpful 有益的
hen 母鸡
her 她
herb 药草
here 这里
hers 她的
herself 她自己
hesitate 犹豫
hi 打招呼，嘿
hide 隐藏
high 高的
highway 公路
hill 小山
him 他
himself 他自己
hire 雇用；工钱
history 历史
hit 打击
hobby 业余爱好
hold 拿
hole 洞
holiday 假期
holy 神圣的
homeland 家乡
hometown 家乡
homework 家庭作业
honest 老实的
honey 蜂蜜
honour 尊重
hook 钩子
hope 希望
hopeful 抱有希望的
hopeless 绝望的
horrible 可怕的
horse 马
hospital 医院
host 主人
hostess 女主人
hotdog 热狗
hotel 饭店
hour 小时
house 房子
housewife 家庭主妇
housework 家务活
however 不管怎样
howl 吼叫
hug 拥抱
huge 巨大的
humanbeing 人类
humorous 幽默的
humour 幽默
hunger 饥饿
hungry 饥饿的
hunt 打猎
hunter 猎人
hurricane 飓风
hurry 匆忙
hurt 受伤
husband 丈夫
hydrogen 氢
ice 冰
identification 鉴定
identify 认出
idiom 习语
if 如果
ignore 忽视
ill 有病的
illegal 不合法的
illness 疾病
imagine 想象
immediately 立即
immigration 移民
import 进口
importance 重要性
important 重要的
impossible 不可能的
impress 给…印象深刻
impression 印象
improve 改进
in 里面
inch 英尺
incident 事故
include 包含
income 收入
increase 增加
indeed 的确
independence 独立的
independent 独立的
indicate 指示
industry 工业
influence 影响
inform 通知
information 消息
initial 最初的
injure 伤害
injury 伤害
ink 墨水
inn 小旅馆
innocent 清白的
insect 昆虫
insert 插入
inside 内部
insist 坚决要求
inspect 检查
inspire 鼓舞
instant 立即的
instead 代替
institute 建立
institution 惯例；建立
instruct 命令
instruction 命令
instrument 仪器
insurance 保险
insure 保证
intelligence 智力
intend 打算
intention 意图
interest 兴趣
interesting 令人感兴趣的
international 国际的
internet 因特网
interpreter 口译
interrupt 打断
interval 间隔
interview 面试
into 到…里
introduce 介绍
introduction 介绍
invent 发明
invention 发明
invitation 邀请
invite 邀请
iron 铁
irrigation 冲洗
island 岛
it 它
its 它的
itself 它自己
jacket 夹克
jam 果酱
jar 罐子
jaw 闲谈
jazz 爵士乐
jeans 牛仔裤
jeep 吉普车
jet 喷气飞机
jewellery 首饰
job 职业
jog 慢跑
joke 笑话
journalist 新闻记者
journey 旅行
judge 法官
judgment 判断
juice 果汁
jump 跳
jungle 丛林
junior 年少的
just 只是
justice 正义
kangaroo 袋鼠
keep 保持
kettle 壶
key 钥匙
keyboard 键盘
kick 踢
kid 孩子
kill 杀死
kilogram 千克
kilometre 千米
kind 亲切的
kindergarten 幼儿园
kindness 亲切
king 国王
kingdom 王国
kitchen 厨房
kite 风筝
knee 膝盖
knife 刀
knock 敲
know 知道
knowledge 理解；学问
laboratory 实验室
labour 劳动
lack 缺少
lady 女士
lake 湖
lamb 羔羊
lame 蹩脚的；差劲的
lamp 灯
land 陆地
language 语言
lantern 灯笼
lap 膝
large 巨大的
last 最后的；上一次
late 晚的
latter 后者的
laughter 笑声
laundry 洗衣房
law 法律
lawyer 律师
lay 放倒；躺下；下蛋
lazy 懒惰的
lead 指挥
leader 领袖
leaf 叶子
league 同盟
leak 泄露
learn 学习
least 最小的
leather 皮革
leave 留下
lecture 演讲
left 左侧
leg 腿
legal 合法的
lemon 柠檬
lemonade 柠檬汽水
lend 借
length 长度
lesson 功课
let 让；使
letter 信
level 水平
liberation 解放
liberty 自由
librarian 图书馆管理员
library 图书馆
licence 执照
lid 盖子
lie 谎话
lift 举起
light 光
lightning 闪电
likely 可能的
limit 界线；限制
line 线条
link 连接
link 连接
lion 狮子
lip 嘴唇；边缘
liquid 液体
list 目录
listen 听
literary 文学
literature 文学作品
litre 升
litter 垃圾
little 小的
live 生存
lively 充满活力的
loaf 一条面包
local 地方性的
lock 锁
lonely 孤独的
long 长的
loose 松的
lorry 卡车
lose 失去
loss 遗失
loud 响亮的
lounge 休息厅
love 爱
lovely 可爱的
low 低的
luck 幸运
lucky 幸运的
luggage 行李
lunch 午餐
lung 肺
machine 机器
mad 发疯的
madam 女士
magazine 杂志
magic 魔法
maid 女仆
mail 邮政
mailbox 邮箱
mainland 大陆
major 主要的
majority 多数
make 做
male 男性的
man 男人
manage 管理
manager 经理；管理人
mankind 人类
manner 方法
many 许多的
map 地图
maple 枫树
marathon 马拉松
marble 弹子；大理石
march 行军
mark 记号；标出
market 市场
marriage 结婚
marry 娶
mask 面罩
mass 大量
master 主人
mat 席子
match 比赛
material 材料
matter 物质；麻烦
mature 成熟的；深思的
maximum 最大值
may 也许
maybe 大概
me 我
meal 饭
meaning 意思
means 方法
meanwhile 同时
measure 测量
meat 肉
medal 奖牌
media 媒体
medical 医学的
medicine 医学
medium 中等的
meet 遇见
meeting 会议
melon 甜瓜
member 成员
memorial 纪念碑
memory 记忆
mend 修理
mental 精神的
mention 提到
merchant 商人
merciful 仁慈的
mercy 宽容
merely 仅仅
merry 欢乐的
mess 弄乱
message 信息
messy 脏的
metal 金属
method 方法
metre 米
microscope 显微镜
microwave 微波
middle 中间的
midnight 午夜
might 表示可能
mild 温柔的
mile 英里
milk 牛奶
millionaire 百万富翁
mind 想法
mine 我的；矿
mineral 矿石
minibus 小型公共汽车
minimum 最小的
minister 部长
ministry 部
minority 少数民族
minus 减号；负的
minute 分钟
mirror 镜子
miss 失败；没击中…
missile 导弹
mist 薄雾；模糊
mistake 错误
mistaken 错误的
misunderstand 误解
mix 混合
mixture 混合物
mobile 可移动的
model 模型
modem 调制解调器
modern 现代的
modest 谦虚的
moment 瞬间
mommy 妈咪
money 钱
monitor 监视器
monkey 猴子
month 月份
monument 纪念碑
moon 月亮
mop 擦掉
moral 道德上的
morning 早上
mosquito 蚊子
most 最
mother 妈妈
motherland 祖国
motivation 动力
motor 马达
motorcycle 摩托车
motto 格言
mountain 山
mountainous 多山的
mourn 哀悼
mouse 老鼠
moustache 胡子
mouth 嘴
move 移动
movement 移动
movie 电影
mr 先生
mrs 太太
mud 泥
muddy 泥泞的
multiply 乘
murder 谋杀
museum 博物馆
mushroom 蘑菇
music 音乐
musical 音乐的
musician 音乐家
mustard 芥末
mutton 羊肉
my 我的
myself 我自己
nail 钉子
name 名字
narrow 狭窄的
nation 国家
national 国家的
