rat 老鼠
universe 宇宙
folk 民间的
tendency 倾向
camp 营地
likely 可能的
alive 活着的
harvest 收割
devote 把…奉献给
marathon 马拉松
christian 基督教徒
government 政府
franc 法郎
seminar 研讨班
departure 离开
forward 向前
person 人
violence 暴力
basketball 篮球
gas 气体；汽油
fox 狐狸
advance 提前
majority 多数
credit 信用
relief 减轻
prefer 更喜欢
qualification 资格；合格证书
sand 沙子
lift 举起
attain 实现
fantasy 幻想
trap 陷阱
interesting 令人感兴趣的
nothing 没有东西
civilian 平民
besides 而且
homework 家庭作业
container 容器
fireworks 烟火
toy 玩具
focus 集中
decide 下决心
frighten 使惊恐
cleaner 保洁员
autumn 秋天
beneath 在下面
hostess 女主人
climb 攀登
expert 专家
super 极好的
significance 意义
hair 头发
phrase 短语
authority 权力；官方
agricultural 农业的
explore 探究
framework 构架
consequence 后果
geography 地理学
match 比赛
hall 礼堂
suppose 猜想
signature 签名
borrow 借
create 创造
companion 同伴
direction 方向
except 把…除外
nutrition 营养
anecdote 轶事
string 一系列
breast 胸膛
flashlight 手电筒
unconscious 失去知觉的
champion 冠军
funeral 葬礼
since 自从
jacket 夹克
robot 机器人
pleasant 令人愉快的
airport 机场
compensate 补偿
sandwich 三明治
boring 无趣的
seldom 很少
jazz 爵士乐
mile 英里
apologize 道歉
shout 喊叫
commit 犯罪
institution 惯例；建立
upstairs 在楼上
abortion 流产；失败
storage 贮存
bravery 勇气
envelope 信封
amazing 令人惊异的
disappoint 使失望
advantage 有利条件
laboratory 实验室
foreign 外国的
conduct 引导
prison 监狱
agreement 协议；同意
botany 植物学
famous 著名的
mix 混合
level 水平
urgent 急迫的
scholar 奖学金获得者；学者
jet 喷气飞机
cottage 小屋
sigh 叹气
maid 女仆
popular 流行的
advertisement 广告
western 西方的
course 课程
wound 伤口
together 在一起
reservation 预订
because 因为
realise 意识到
grateful 感激的
huge 巨大的
knowledge 理解；学问
arrive 到达
seaside 海边
assessment 评估
kilometre 千米
plug 插头
impress 给…印象深刻
fail 失败
discuss 谈论
temporary 临时的
volcano 火山
asleep 睡着的
amateur 业余的
material 材料
fragrant ；物质的
slave 奴隶
itself 它自己
stupid 笨的
central 中心的
evening 傍晚
collision 碰撞；冲突
highway 公路
staff 全体职员
asia 亚洲
medicine 医学
shop 商店
pump 泵
discourage 使气馁
political 政治的
continent 大陆
bless 保佑
jeep 吉普车
account 帐户
zoom 猛涨
content 满足；容量
trousers 裤子
tonight 今晚
spend 花钱
astronaut 宇航员
belt 腰带
result 结果
gravity 万有引力；重力
worth 价值
prize 奖金
quarrel 争吵
born 出生的
guard 保护
driver 驾驶员
otherwise 否则
repair 修理
reasonable 合理的
could 表示请求
disappear 消失
shy 害羞的
questionnaire 调查卷
cheers 干杯
interview 面试
kindness 亲切
gradual 渐渐的
quit 离去
medical 医学的
waste 浪费
airmail 航空邮件
expensive 昂贵的
wisdom 智慧
favourite 特别喜欢
attitude 态度
touch 接触
soil 泥土
especially 尤其
suck 吮吸
breath 呼吸
rice 大米
stout 结实的
version 译文；看法
oxygen 氧
grey 灰色
humorous 幽默的
burn 燃烧
regard 注视
seaweed 海草
tremble 发抖
pillow 枕头
garlic 大蒜
straw 稻草
pineapple 菠萝
tradition 传统
rescue 营救
violent 暴力的
terror 恐怖
fortune 机会；命运
until 到…为止
pride 自豪
foster 培养
peace 和平
shorts 短裤
vertical 垂直的
jam 果酱
hatch 孵化
atmosphere 大气；气氛
stadium 体育场
light 光
injure 伤害
witness 目击者
component 成分
weekly 周刊
right 正当的；向右
dialogue 对话
audience 观众
acquire 获得
store 贮存；商店
decline 下降
spit 口水
undertake 着手
terrible 可怕的
vacation 假期
handbag 手提包
saucer 茶托
officer 军官
whisper 低声说
pleased 自鸣得意的
greedy 贪吃的
horse 马
little 小的
cloudy 多云的
mainland 大陆
fee 费
taste 尝
alternative 两者择一的
opening 开张
toothache 牙痛
universal 普遍的
cow 母牛
wheel 轮子
pipe 管子
profession 职业
dig 挖
conversation 交谈
gain 获得
subjective 主观的
thunder 打雷
clay 黏土
hill 小山
budget 预算
against 逆着
cage 笼子
unfit 身体不适的
scene 背景
pint 品脱
freezing 严寒的
oilfield 油田
onion 洋葱
outstanding 突出的
wool 羊毛
crazy 发疯的
sew 缝
shelf 架
freeze 结冰
behaviour 行为
behavior 行为
television 电视
chest 胸腔；箱子
knock 敲
directory 电话本
platform 平台
sightseeing 观光
bay 湾
foreigner 外国人
another 另一个
boy 男孩
handsome 英俊的
rest 休息
study 学习
front 前面
rely 依赖
aside 在旁边
appeal 呼吁
competence 能力
fresh 新鲜的
question 问题
annoy 打扰
pretty 漂亮的
conference 会议；讨论
communist 共产主义者
sunlight 阳光
cure 治疗
slide 滑落
glance 一瞥
paint 涂料
wine 葡萄酒
dive 跳水
admire 称赞
existence 生存
bureaucratic 官僚的
skill 技能
enthusiastic 热情的
volleyball 排球
dam 坝
delicate 易碎的；微妙的；脆弱的
post 张贴；邮件
disgusting 令人作呕的；极坏的
radioactive 放射性的
offense 进攻
guarantee 保证
husband 丈夫
island 岛
painting 绘画作品
nowadays 现在
hardship 艰难困苦
counter 柜台；对抗
collar 衣领
appropriate 适当的
thriller 令人兴奋的
repeat 重述
perform 执行
unbelievable 不可相信的
dozen 一打
easter 复活节
noisy 嘈杂的
uncomfortable 不舒服的
reception 接待
value 价值
chess 国际象棋
thunderstorm 雷电交加的暴风雨
convenient 方便的
cassette 盒式录音带
toward 向；朝
theft 偷窃
chef 厨师长
businessman 商人
silly 蠢的
tomato 番茄
brunch 早午餐
suitcase 手提箱
spade 铲子
mental 精神的
comfort 舒适的
receiver 接受者
africa 非洲
percentage 百分比
wrong 不正确的
correspond 相符合
reflect 反射
spy 间谍
religious 宗教的
last 最后的；上一次
shade 遮光物
perfume 香水
pity 怜悯
trouble 困难
necklace 项链
pancake 薄煎饼
interest 兴趣
hen 母鸡
dynasty 朝代
single 单一的
puzzle 使迷惑
among 是…中之一
certificate 证明书
crowd 人群
wander 漫游
fix 修理
clinic 诊所
grammar 语法
translate 翻译
delete 删除
cheat 欺骗
adjust 校正
ill 有病的
swing 摇摆
privilege 特权
quarter 四分之一
brain 脑
orbit 轨道
attach 贴上
blind 失明的
wild 野生的
plastic 塑料
adaption 适应；改编
lively 充满活力的
reply 回答
assume 假设
saying 俗话
composition 创作
sunshine 阳光
union 联合
angle 角度
legal 合法的
observe 观察
splendid 极好的
scar 伤疤
kill 杀死
rent 租金
distinguish 辨别
lead 指挥
vest 背心
effect 影响
mud 泥
refer 提到；关系到
globe 地球；世界
power 权利
marriage 结婚
brilliant 明亮的
pick 采
speech 说话
ancient 古代的
director 主管
replace 取代
autonomous 自治的
output 产量；输出
gifted 有天赋的
station 车站
teamwork 协力配合
revision 修订
revolution 革命
surgeon 外科医生
link 连接
average 平均的
section 部门
fluency 流利
underground 底下的
amusement 娱乐
develop 开发
sword 剑
star 星
greengrocer 水果蔬菜商
lucky 幸运的
eraser 橡皮
rainbow 彩虹
anxious 焦虑的
beyond 在另一边
waitress 女服务生
reference 提及
switch 开关
caption 标题
rough 粗糙的
rail 责备
photo 相片
parrot 鹦鹉
instant 立即的
centre 中心点
determine 使下决心
street 大街
voyage 航行
patient 耐心；病人
wake 醒
worker 工作者
internet 因特网
coast 海岸
benefit 有益于
already 已经
broad 宽的
feed 喂养
shoot 射击
across 穿越
male 男性的
antarctic 南极的
zone 区域
continue 继续
blackboard 黑板
defend 保护
tentative 试验的
channel 海峡
technical 技术的
difficult 困难的
widespread 分布广的
war 战争
pear 梨
excuse 原谅
actress 女演员
tablet 药片
score 分数
pronunciation 发音
accent 口音
chat 聊天
deer 鹿
memorial 纪念碑
within 不超出
tent 帐篷
microwave 微波
success 成功
luggage 行李
ending 结局
noodle 面条
vain 自负的；徒劳的
dentist 牙科医生
district 地区
control 控制
bill 账单
professor 教授
indicate 指示
gentle 温和的
helicopter 直升机
airplane 飞机
allowance 津贴
forehead 前额
stable 稳定的
fast 快的
lake 湖
quilt 被子
agenda 议事日程
command 命令
photographer 摄影者
monitor 监视器
middle 中间的
means 方法
glare 瞪眼
breakfast 早餐
mad 发疯的
currency 货币
detective 侦探
prisoner 犯人
dinner 正餐
helmet 头盔
handwriting 字迹
thankful 感谢的
enough 充足的
psychology 心理学
skin 皮肤
amuse 逗乐
poisonous 有害的
hearing 听力
praise 称赞
flight 飞行
ash 灰
crime 罪
troublesome 引起麻烦的
coke 焦炭
circulate 使循环
address 地址
numb 麻木的
drunk 醉的
resign 辞职；放弃
congratulate 祝贺
plain 清晰的；平原
affair 事件
chicken 鸡肉
deed 行为
pure 纯的
cover 覆盖
error 错误
relationship 关系
snowy 多雪的
ticket 票；标签
subject 学科；话题
throughout 在…期间
applicant 申请人
ceiling 天花板
manner 方法
type 类型
remark 评论
mop 擦掉
smog 烟雾
lid 盖子
topic 题目
literature 文学作品
garment 衣服
squirrel 松鼠
aloud 大声地
next 接下去
barrier 栅栏
sharp 锋利的
declare 宣布
headline 大字标题
appreciation 赏识；感谢
vivid 生动的
thief 小偷
skirt 裙子
wildlife 野生生物
cater 提供；迎合
tissue 组织；一套
leader 领袖
hide 隐藏
bit 少量
pioneer 开拓者
nation 国家
disagree 不同意
relevant 有关的
drawer 抽屉
dip 浸
treatment 处理
regular 有规律的
duty 职责
metre 米
download 下载
canal 运河
vague 模糊的
letter 信
sadness 悲伤
skate 溜冰
motherland 祖国
dress 连衣裙
major 主要的
lie 谎话
tractor 拖拉机
plus 加号
honour 尊重
bow 鞠躬
public 公众的
reform 改革
admission 准许进入；承认
throat 喉咙
civil 公民的
goat 山羊
environment 环境
taxpayer 纳税人
whether 是否
anxiety 焦虑
carrier 搬运人
captain 船长
apology 认错
broadcast 广播
compete 竞争
matter 物质；麻烦
decision 决心
unwilling 不愿意的
europe 欧洲
coincidence 巧合
circle 圆
oppose 反对
forty 午睡
arrest 逮捕
shore 岸
unit 单元
origin 起点
inn 小旅馆
electronic 电子的
volunteer 志愿者
burst 爆发
thread 线；线索
innocent 清白的
skyscraper 摩天大楼
twin 双胞胎
tiny 极小的
expense 花费
surface 表面
swift 速度的
thermos 热
tutor 导师
dimension 尺寸；方面
behave 表现
jog 慢跑
wax 蜡
outside 在外面
vital 极重要的
leaf 叶子
asian 亚洲人
pet 宠物
each 每一个
theater 剧院
storm 暴风雪
neighbourhood 邻居
clock 钟
dare 敢
explode 使爆炸
peaceful 和平的
pale 苍白的
assumption 假定
typewriter 打字机
concentrate 专注于
several 几个
bell 钟
bitter 有苦味的
reason 理由
dance 跳舞
pest 有害的
shame 羞愧
bored 无聊的
point 要点
analysis 分析
bus 公交车
identification 鉴定
need 需要
spoon 匙
nephew 外甥
physician 内科医生
judgment 判断
gallon 加仑
meeting 会议
tobacco 烟草
wash 洗
relation 关系
breathe 呼吸
clean 清洁的
chart 图表
faith 信任
hook 钩子
percent 百分比
instruction 命令
intention 意图
booth 小房间
secure 牢固的
semicircle 半圆形
voice 说话声
food 食物
strait 海峡；困难
addicted 上瘾的
cartoon 卡通
prepare 准备
shave 削
fight 战争
apparent 显然的
metal 金属
passive 被动的
lovely 可爱的
transparent 透明的
click 单击
outward 外出的
adolescent 青春期的
than 与…相比较
fire 火
sick 不舒服的
grasp 抓住
ashamed 惭愧的
interpreter 口译
weed 杂草
from 从…
beauty 美丽
schoolboy 男生
towel 毛巾
beg 乞讨
biochemistry 生物化学
into 到…里
symptom 症状
subscribe 订购；捐助
shrink 收缩
allow 允许
accountant 会计师
disturb 打扰
avenue 大街
meet 遇见
message 信息
bread 面包
sheet 纸片
secret 秘密
whenever 任何时候
pardon 宽恕
physical 物质的
athlete 运动员
requirement 要求
glory 光荣
surround 包围
violin 小提琴
aluminium 铝
birthplace 出生地
nuclear 核的
equal 平等的
most 最
often 常常
soup 汤
rigid 僵硬的；严格的
adjustment 调节
blue 蓝色；忧郁
abstract 抽象的
steady 稳定的
rope 绳索
sink 下沉
goose 鹅
place 地方
truck 卡车
job 职业
wide 宽的
compromise 妥协
arrival 到达
rooster 公鸡
tick 滴答声
intelligence 智力
theme 主题
wait 等候
postpone 延期
hole 洞
deserve 应得
institute 建立
surrounding 环境
twice 两倍
coal 煤块
draw 绘画
yard 场院
destroy 毁灭
rag 破布
correction 改正的
ownership 所有权
predict 预言
agency 代理行
automatic 自动的
guess 猜
lunch 午餐
rugby 橄榄球
burden 重负
enter 进入
discussion 讨论
struggle 打斗
editor 编辑
reduce 减少
prohibit 禁止
persuade 说服
sharpener 削刀
research 研究
greet 欢迎
educator 教员
penny 便士
cheap 廉价的
lose 失去
customs 海关
salty 含盐的
height 高度
find 找到
above 在…上方
aid 帮助
arctic 北极的
fuel 燃料
socialism 社会主义
bend 使弯曲
terminal 终点
compulsory 强制性的
winner 优胜者
grass 草
sweet 甜的
stream 小河；流动
irrigation 冲洗
busy 忙
low 低的
swap 交换
musician 音乐家
cuisine 烹饪艺术
sacrifice 牺牲
recommend 推荐；劝告
soldier 士兵
ruin 毁灭
possible 可能的
anyway 不管怎样
judge 法官
triangle 三角形
mother 妈妈
attraction 吸引力
pool 水池
birthday 生日
brown 棕色的
howl 吼叫
personally 就自己而言
offshore 近海的
application 申请表
dioxide 二氧化物
suite 套间
obvious 明显的
wife 妻子
ham 火腿
speaker 说话人
mistake 错误
least 最小的
game 游戏
sympathy 同情心
league 同盟
clumsy 笨拙的
millionaire 百万富翁
tournament 锦标赛
nod 点头
socket 插座
willing 愿意
blame 指责
status 地位；情况
sincerely 敬上
emergency 紧急情况
nature 大自然
seal 海豹
pollute 污染
contribute 捐助
poster 海报
postage 邮费
routine 惯例
kettle 壶
piece 部分
listen 听
lesson 功课
painter 画家
neither 两者都不
postcode 邮政编码
electric 电动的
competition 竞争
leather 皮革
seem 好像
sausage 香肠
format 格式
bamboo 竹竿
expose 曝光
protect 保护
accident 事故
cubic 立方体
yoghurt 酸奶
dictation 听写
plate 盘子
inspire 鼓舞
grandson 外孙
stop 停止
anyhow 不论如何
merciful 仁慈的
bathroom 浴室
journey 旅行
patience 耐性
cinema 电影院
chair 椅子
survive 幸存
change 改变
litre 升
onto …之上
dirty 脏的
mineral 矿石
gather 集合
milk 牛奶
grill 烧烤；盘问
wall 墙
object 物体
spot 斑点
ready 准备就绪的
patent 专利；明显的
land 陆地
policewoman 女警察
media 媒体
tale 故事
guest 客人
positive 积极的
precise 准确的
march 行军
donate 捐赠
polite 客气的
troop 军队
hotel 饭店
classify 分类
fingernail 指甲
facial 面孔
classmate 同学
graduation 毕业
pattern 形式
card 卡片
powerful 强健的
brewery 啤酒厂
homeland 家乡
distant 遥远的
trust 信赖
stage 时期；舞台
sell 卖
import 进口
convince 使相信
suffering 苦难
pork 猪肉
grocer 食品杂货商
satellite 卫星
statistics 统计学
himself 他自己
defence 防御
rate 比率
tense 紧张的
army 军队
factory 工厂
necessary 必要的
agriculture 农业
impression 印象
accustomed 惯常的
few 不多的
flow 流动
hold 拿
moustache 胡子
corrupt 堕落的
tasty 美味的
swear 诅咒
condition 状况
steep 浸
courage 勇气
marry 娶
extreme 尽头的；极端的
thosethat 的复数
tourism 旅游
ground 地面
glove 手套
contain 包含
chain 锁链
midnight 午夜
obtain 获得
will 愿意
acid 酸味的
stair 楼梯
update 更新
pay 付给
evidence 证词
carpet 地毯
advocate 提倡
cheer 喝彩
blow 吹
reject 拒绝
comprehension 理解
bathe 给…洗澡
dumpling 饺子
high 高的
my 我的
airspace 领空
promise 允诺
athletic 运动的
headmistress 女校长
slim 苗条的
after 在…以后
afterward 以后
refuse 拒绝
organ 器官
cautious 小心的
advise 劝告
fountain 泉水；来源
wet 湿的
．education 体育
remind 使想起
whole 整体的
down 向下
weekend 周末
punctuation 标点
shopping 购物
flag 旗帜
violate 冒犯；违反
premier 总理
slice 切
hunt 打猎
healthy 健康的
respond 回答；回应
approve 赞成
peach 桃
avoid 避免
sort 种类
daily 日常的
trick 把戏
beancurd 豆腐
many 许多的
approach 接近
enquiry 询问
rude 粗鲁的
slow 慢的
cab 出租车
band 带
transform 改变
paragraph 段落
freeway 高速路
production 生产
international 国际的
invent 发明
security 安全
rectangle 长方形
treasure 宝藏；重视
govern 统治
discount 折扣
fantastic 极好的
sight 视力；风景
delay 延迟
restaurant 饭店
independence 独立的
spoken 口头的
might 表示可能
accept 接受
scientist 科学家
fever 发烧
acre 英亩
argument 争吵
holy 神圣的
crew 全体船员
door 门
today 今天
meal 饭
walk 步行
scenery 风景
found 创办
gesture 姿势；手势
come 来
ample 大量的
due 应有的
tree 树
meanwhile 同时
try 试图
construction 建造
intend 打算
nervous 害怕的
here 这里
divide 分
page 页
movement 移动
decrease 减小
raise 举起
bench 长椅
fence 栅栏；保护
manager 经理；管理人
interval 间隔
bowl 碗
heel 足跟
disability 无能力
case 事例
sweat 汗水
link 连接
exist 存在
mourn 哀悼
performance 演出
glad 高兴的
ancestor 祖先
gun 炮
recognise 识别
different 不同的
toast 吐司
civilization 文化
language 语言
flee 逃走
zebra 斑马
select 选择
never 从不
broken 破碎的
mutton 羊肉
video 录像带
twist 扭动；扭转
shadow 阴影；遮蔽
stocking 长袜
algebra 代数
help 帮助
cookie 饼干
elegant 优美的
endless 无止境的
centigrade 摄氏
glue 胶水
concern 焦虑
basic 基本的
wallet 钱夹
wave 波浪
dish 盘子
spelling 拼写
know 知道
goods 商品
practise 练习
clothes 衣服
scientific 科学的
instead 代替
teenager 青少年
welcome 欢迎
careless 粗心的
weigh 重量
parking 停车
humanbeing 人类
used 用过的
north 北方
chopsticks 筷子
principle 原理；准则
loud 响亮的
african 非洲的
size 尺寸
strike 攻击
biology 生物学
absence 缺席
deaf 聋的
rare 稀少的
unrest 动乱
saleswoman 女店员
royal 国王的；大规模的
below 在…下面
movie 电影
bowling 保龄
resist 抵抗
kingdom 王国
powder 粉末
condemn 责备；判罪
capsule 胶囊
let 让；使
practical 实际的
paddle 短浆
temperature 温度
apart 相距
butterfly 蝴蝶
stand 站立
concert 音乐会
maximum 最大值
simplify 简化
sleep 睡觉
spring 春天；泉
tooth 牙
exercise 运动
reach 到达
overhead 头顶上的
heaven 天堂
dignity 庄严
believe 相信
commitment 承诺
parent 父母
tired 疲倦的
tennis 网球
flesh 肉体
circuit 线路
decoration 装饰
review 检查
courtyard 庭院
potato 土豆
various 各不相同的
destination 终点；目的地
appoint 任命
affection 喜爱
severe 严重的
bush 灌木
conductor 指挥
sceptical 怀疑的
mask 面罩
why 为什么
poor 贫穷的
great 大的
solid 固体
permanent 永久的；固定的
nest 鸟巢
dust 灰尘
assess 估计
impossible 不可能的
would 将
fat 肥胖的
rapid 快的
northeast 东北
oral 口头的
typical 典型的
harmful 有害的
darkness 黑暗
defeat 击败
spokeswoman 女发言人
beneficial 有益的
wherever 各处
skip 跳
but 但是
olympic 奥林匹克
confuse 使困惑
preference 偏爱
artificial 人造的
expression 表示
drink 喝
check 检查
ban 禁止
interrupt 打断
divorce 离婚；分离
variety 种类
altogether 全部地
anniversary 周年纪念
herb 药草
jump 跳
foolish 愚蠢的
quick 快的
he 他
deposit 放置；存款
at 在；于
train 火车
shabby 卑鄙的
ripen 成熟
worldwide 全世界
computer 计算机
sob 哭
kick 踢
thirst 渴
partly 部分地
upset 使心烦
chalk 粉笔
diagram 图解
appear 出现
lamp 灯
if 如果
lorry 卡车
congratulation 祝贺
forgetful 健忘的
castle 城堡
skatebroad 滑板
toothpaste 牙膏
ordinary 普通的
piano 钢琴
collection 收集
emperor 皇帝
remove 移走
unlike 不同的
encouragement 鼓励
bungalow 平房
lazy 懒惰的
measure 测量
perhaps 大概
native 本国的
ought 应该
wag 摇摆
become 变为
astronomer 天文学者
contemporary 当代的
villager 村民
rewind 倒回
when 在那时
receive 收到
other 其他的
salary 薪水
potential 潜在的
compass 罗盘；圆规
animal 动物
ear 耳朵
pension 退休金
annual 每年的
salesman 销售员
month 月份
behind 在…后面
drug 药物
creature 生物
hire 雇用；工钱
respect 尊重
granddaughter 孙女
partner 搭档
jaw 闲谈
mind 想法
total 总计
alarm 警告
aggressive 好斗的
mobile 可移动的
attention 专心
require 命令；需求
air 空气
basement 地下室
belong 属于
equipment 设备
recite 背诵；列举
standard 标准
straight 直的
chief 首领
decade 十年
shot 开枪
earthquake 地震
scare 恐吓
access 通道
inform 通知
rain 雨
envy 嫉妒
feeling 知觉
keep 保持
flour 面粉
yell 叫喊
rid 摆脱
badminton 羽毛球
newspaper 报纸
aim 目标
disadvantage 不利
admirable 令人钦佩的
stress 压力
unable 不能的
occupy 占领
laughter 笑声
referee 裁判
part 一部分
introduce 介绍
pulse 脉搏
information 消息
soon 不久
theoretical 理论的
junior 年少的
journalist 新闻记者
chemist 化学家
pace 步子
frequent 常见的
explicit 明晰的
bounce 弹回
cat 猫
happen 发生
chemistry 化学
sharpen 变得更好
safe 安全的
form 结构
steal 偷
toilet 洗手间
clothing 衣服
prescription 处方
spell 拼写
advice 劝告
belief 信任
differ 不同
graduate 毕业了的
seek 寻找；企图
spirit 精神
nail 钉子
female 女性的
development 发展
bottle 瓶子
blank 空白的
round 到处
host 主人
cattle 牛
barber 理发师
basis 基础
bite 咬
parallel 平行线
friend 朋友
equip 装备
way 路
occupation 职业
appearance 出现；外貌
health 健康
bomb 炸弹
tour 旅行
print 图案
addition 加
apartment 一套房间
shut 关上
supper 晚餐
play 游戏
guilty 内疚的
beast 兽
diary 日记
local 地方性的
dog 狗
progress 前进
boxing 拳击
line 线条
diverse 不同的
breakthrough 突破点
dictionary 字典
supermarket 超级市场
shower 淋浴
wise 明智的
controversial 有争议的
background 背景
spiritual 精神上的
handle 把手；处理
bridge 桥
succeed 成功
calculate 计算
private 私人的
reality 实际
accuracy 准确的
smart 聪明的
sad 难过的
butter 黄油
contradictory 矛盾的
passenger 乘客
contribution 贡献
beautiful 美丽的
sideway 岔路
brand 商标
maybe 大概
easy 容易的
close 关上
bunch 束；捆
actual 实在的
statesman 政治家
province 省份
fierce 凶猛的
mrs 太太
net 网
age 年龄
owner 物主
silver 银
per （数量、价格）每
deep 深的
summary 摘要
flash 闪光
citizen 公民
christmas 圣诞节
opposite 对立的
blanket 毛毯
pregnant 怀孕的；含蓄的
one 一
anchor 锚
root 根部
wear 穿
participate 参加
firm 结实的；公司
neck 脖；领口
request 要求
refrigerator 冰箱
pile 一堆
changeable 易变的
brave 勇敢的
technology 科技
magazine 杂志
sparrow 麻雀
cook 烹调
evaluate 评估
traditional 传统的
man 男人
profit 利润
random 任意的
bean 豆
botanical 植物学的
natural 自然的
night 夜晚
double 双的
shortly 不久
lounge 休息厅
teapot 茶壶
scholarship 奖学金
tease 取笑
warehouse 仓库
quiet 轻声的
bag 包
side 侧面
uniform 制服
pray 祈祷
just 只是
pupil 学生
whale 鲸鱼
helpful 有益的
tall 高的
hers 她的
outcome 结果
eager 热切的
title 题目
northern 北方的
bother 打扰
silence 寂静
sensitive 易受伤的；敏感的
scissors 剪刀
oneself 自己
sail 航程
arrange 安排
postcard 明信片
ray 光束
clear 清晰的
kilogram 千克
typhoon 台风
dismiss 解雇
law 法律
disappointed 失望的
failure 失败
contradict 反驳
primitive 原始的
artist 艺术家
boss 老板
catholic 天主教的
chemical 化学的
aunt 阿姨
science 科学
operator 操作员
outer 外面的
dangerous 有危险的
birth 出生
arm 臂；武器
improve 改进
separate 分开
expand 扩大
america 美国
rubber 橡胶
police 警察
wire 电线
hurt 受伤
virus 病毒
textbook 课本
away 远处
winter 冬天
carry 运送
acknowledge 承认
block 阻碍物
cycle 自行车
fisherman 渔民
housework 家务活
freedom 自由
discrimination 歧视
normal 正常的
official 公务的
reserve 保护区
refresh 使恢复
accurate 准确的
finance 财政
cross 十字架
enjoyable 快乐的
visit 参观
modem 调制解调器
word 单词
raincoat 雨衣
nationwide 全国的
learn 学习
injury 伤害
brother 兄弟
garbage 垃圾
tomb 墓穴
unfair 不公正的
insect 昆虫
her 她
jar 罐子
vegetable 蔬菜
she 她
silent 寂静的
pack 背包
clap 拍手
pain 痛苦
able 能够…的
remote 遥远的；微小的
heat 高温
dormitory 集体宿舍
worthy 应得的
choke 填塞
send 送
both 两者都
industry 工业
fall 降落
fragile 易碎的
maple 枫树
bank 河岸；银行
suspension 高架铁路
minus 减号；负的
mouse 老鼠
seize 抓住
fax 传真机
sing 唱歌
smell 闻
foggy 有雾的
occur 发生；存在
pie 馅饼；派
cushion 垫子
absurd 荒谬的
examine 考试
thin 瘦的
yellow 黄色的
salt 盐
sea 海
free 自由的
cream 奶油
hungry 饥饿的
elect 选举
policeman 男警察
confident 肯定的
drive 驾驶
room 房间
nobody 没有人
board 木板
cash 现金
important 重要的
blouse 女衬衫
name 名字
acquisition 获得
write 写
article 文章
sheep 睡
marble 弹子；大理石
self 自我
lung 肺
incident 事故
juice 果汁
vinegar 醋
overcoat 大衣
tea 茶
simple 简单的
